"h(1) [h]","µmol/L(1) [µmol/l]"
0,0.1090909
0.5,13.41818
1,10.47273
1.5,7.909091
2,5.618182
3,3.163636
4,1.854545
5,1.090909
6,0.6545454
8,0.3272727
10,0.3272727
12,0.2727273
16,0.2181818
24,0.2181818
