"h(1) [h]","nM [µmol/l]"
0,0.2371541
0.5,2.450593
1,2.134387
1.5,1.581028
2,1.185771
3,0.766078
4,0.4315339
6,0.1296462
8,0.07303003
12,0.02656638
15,0.01763156
24,0.01138623
32,0.006961935
