"h(1) [h]","µm/L(2) [µmol/l]"
0.5,18.97766
1,19.4403
1.5,16.82447
2,11.17165
3,5.972424
4,3.192891
5,1.626661
6,1.029325
8,0.4324972
10,0.2608063
12,0.1774002
16,0.1044308
24,0.06934325
