"h(1) [h]","nM [µmol/l]"
0,0.07905138
0.5,1.422925
1,1.73913
1.5,1.185771
2,0.8695652
4,0.2864002
6,0.09598334
8,0.05119161
12,0.02515321
15,0.01496491
24,0.01270158
32,0.006961935
