"h(1) [h]","nM [µmol/l]"
0,0
0.25,2.84585
0.5,12.49012
1,27.35178
1.5,27.98419
2,24.11067
3,14.07115
4,8.063241
6,2.105921
8,0.7253274
15,0.1486302
24,0.1100381
32,0.07505349
48,0.02381522
72,0.005154258
