"h(1) [h]","nM [µmol/l]"
0,0.2371541
0.5,5.217391
1,5.6917
1.5,4.743083
2,3.557312
3,2.29249
4,1.185771
6,0.4198996
8,0.2179109
12,0.09864278
15,0.06370217
24,0.04716181
32,0.04113802
48,0.0104899
