"h(1) [h]","nM [µmol/l]"
0,0.2371541
0.25,2.134387
0.5,12.09486
1,20.23715
1.5,23.00395
2,16.67984
3,9.090909
4,5.296443
6,1.476181
8,0.5225177
12,0.2063194
15,0.1296462
24,0.113087
32,0.08372375
48,0.04113802
