"h(1) [h]","µm/L(1) [µmol/l]"
0.5,16.03323
1,12.3015
1.5,8.780407
2,6.419947
3,3.689314
4,2.120117
5,1.218356
6,0.7346979
8,0.3087022
10,0.190693
12,0.149876
16,0.09037888
24,0.06934325
