"h(1) [h]","nM [µmol/l]"
0.01834862,0
0.5137615,3.061224
1.027523,4.359184
1.981651,2.865306
3.009174,1.518367
3.981651,0.8081633
4.990825,0.3918367
6.036697,0.1714286
7.981651,0.09795918
9.98165,0.07346939
12,0.09795918
