"h(1) [h]","nM [µmol/l]"
0,0.497076
0.4956522,1.608187
0.9913043,2.4269
1.513044,2.865497
1.982609,2.807018
3,2.105263
3.991305,1.520468
5.008696,0.7894737
6,0.4385965
8.008696,0.1754386
9.991304,0.2046784
12,0.1754386
