"h(1) [h]","nM [µmol/l]"
0,0.3952569
0.25,10.59289
0.5,27.50988
1,35.25692
1.5,31.46245
2,24.03162
3,13.51779
4,7.351779
6,1.836941
8,0.5990295
12,0.2638548
15,0.190078
24,0.1227498
32,0.09598334
48,0.05710534
72,0.009150068
