"h(1) [h]","nM [µmol/l]"
0,0.1581028
0.25,1.660079
0.5,5.612648
1,8.458498
1.5,8.142292
2,6.798419
3,3.794466
4,2.055336
6,0.5369952
8,0.3024908
12,0.08842754
15,0.04344925
24,0.03397483
32,0.01715621
48,0.00966414
