"h(2) [h]","nM/L(1) [µmol/l]"
216,0.4324324
216.5,1.225225
217,2.594595
217.5,2.126126
218,2.54054
219,1.873874
220,1.027027
222,0.4504505
224,0.2702703
228,0.1441441
