"h(1) [h]","nM [µmol/l]"
0.02575107,0.2915452
0.5407726,3.61516
1.004292,5.014577
1.493562,4.489796
2.034335,4.139941
3.012876,2.565598
4.017168,2.011662
6.025751,0.6122448
8.034335,0.2915452
12.02575,0.1749271
