"h(1) [h]","nM [µmol/l]"
0,0.5714286
0.4984615,2.384615
0.9784616,3.230769
1.513846,3.956044
1.993846,3.648352
2.990769,2.010989
4.024615,1.450549
5.003077,1.076923
6.018462,0.7032967
8.030769,0.2747253
9.987692,0.1758242
12.01846,0.1648352
