"h(1) [h]","µmol/L [µmol/l]"
0,0.03125
0.4536862,2.34375
0.952741,3.03125
1.451796,3.65625
1.950851,3.5
2.994329,2.46875
3.94707,1.84375
4.990548,1.1875
5.988658,0.65625
7.939508,0.1875
11.97732,0.09375
16.06049,0.03125
24,0.03125
