"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.003030503,0.02484621,0.003586137
0,6,0.03793275,0.1232182,0.01227134
0,9,0.1178614,0.263055,0.02524517
0,12,0.2363708,0.4279501,0.04155244
0,15,0.3814586,0.6000125,0.0598999
0,18,0.5386145,0.7641201,0.07904548
0,21,0.6943703,0.9101126,0.09797322
0,24,0.8382994,1.03236,0.1159419
0,27,0.9635171,1.128773,0.1324739
0,30,1.066399,1.199792,0.1473166
0,33,1.145938,1.247488,0.1603908
0,36,1.203004,1.274806,0.1717393
0,39,1.23965,1.285019,0.1814815
0,42,1.258564,1.281354,0.1897785
0,45,1.262637,1.266778,0.1968069
0,48,1.254692,1.243887,0.2027422
0,51,1.237313,1.214874,0.2077484
0,54,1.212765,1.181545,0.2119726
0,57,1.182967,1.145352,0.2155434
0,60,1.149502,1.107446,0.218571
0,63,1.11365,1.068718,0.2211482
0,66,1.076426,1.029851,0.2233528
0,69,1.038618,0.9913557,0.2252491
0,72,1.00083,0.9536068,0.2268903
0,75,0.9635144,0.9168724,0.2283201
0,78,0.9270011,0.8813358,0.2295744
0,81,0.8915249,0.847115,0.2306827
0,84,0.8572446,0.8142778,0.231669
0,87,0.8242604,0.782854,0.2325531
0,90,0.7926275,0.7528453,0.2333513
0,93,0.7623676,0.7242331,0.2340768
0,96,0.7334768,0.6969832,0.2347408
0,99,0.7059327,0.671051,0.2353522
0,102,0.6796996,0.6463854,0.2359186
0,105,0.6547325,0.6229306,0.2364462
0,108,0.6309808,0.6006289,0.2369402
0,111,0.6083899,0.5794218,0.2374049
0,114,0.5869036,0.559251,0.237844
0,117,0.5664653,0.5400598,0.2382606
0,120,0.5470191,0.521793,0.2386571
0,135,0.4628248,0.4425599,0.2404051
0,150,0.3961695,0.3795749,0.2418738
0,165,0.3425383,0.3286799,0.243152
0,180,0.2986981,0.2869194,0.2442876
0,195,0.2623571,0.2521965,0.2453102
0,210,0.231875,0.2230034,0.2462395
0,225,0.2060569,0.1982341,0.2470898
0,240,0.1840124,0.1770588,0.2478721
0,255,0.1650634,0.1588414,0.2485953
0,270,0.1486814,0.1430831,0.2492666
0,285,0.1344477,0.1293869,0.2498922
0,300,0.1220264,0.1174328,0.2504774
0,315,0.1111437,0.1069593,0.2510266
0,330,0.1015739,0.09775039,0.2515439
