"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.008240914,0.06798142,0.00246265
0,6,0.1050678,0.3439628,0.008529931
0,9,0.3308477,0.7443612,0.01768632
0,12,0.6704985,1.223229,0.02928435
0,15,1.091229,1.728447,0.04241981
0,18,1.551425,2.214768,0.05621026
0,21,2.011403,2.651038,0.06992336
0,24,2.439793,3.019486,0.08301705
0,27,2.815452,3.31298,0.09513488
0,30,3.126832,3.532119,0.1060806
0,33,3.370271,3.682522,0.1157835
0,36,3.547801,3.772559,0.1242626
0,39,3.665084,3.811681,0.1315937
0,42,3.729772,3.809285,0.137885
0,45,3.750228,3.774061,0.1432584
0,48,3.734673,3.713633,0.1478362
0,51,3.690666,3.634451,0.1517339
0,54,3.624856,3.541857,0.1550561
0,57,3.542898,3.440161,0.1578947
0,60,3.449477,3.332782,0.1603289
0,63,3.348393,3.222394,0.1624258
0,66,3.24267,3.111052,0.1642418
0,69,3.134676,3.00031,0.165824
0,72,3.026232,2.891318,0.1672112
0,75,2.918714,2.784908,0.1684358
0,78,2.813141,2.681665,0.1695242
0,81,2.710247,2.581977,0.1704984
0,84,2.610541,2.486082,0.1713765
0,87,2.514355,2.394103,0.1721732
0,90,2.421886,2.30607,0.1729008
0,93,2.333228,2.221953,0.1735694
0,96,2.248396,2.141682,0.1741875
0,99,2.167353,2.065149,0.1747621
0,102,2.090016,1.992219,0.175299
0,105,2.016274,1.922745,0.175803
0,108,1.945993,1.856573,0.1762782
0,111,1.879029,1.793544,0.176728
0,114,1.815232,1.733499,0.1771554
0,117,1.754448,1.67628,0.1775628
0,120,1.696522,1.621735,0.1779522
0,135,1.444641,1.384159,0.1796844
0,150,1.243873,1.194063,0.1811529
0,165,1.081356,1.039554,0.1824354
0,180,0.9477798,0.9120978,0.1835763
0,195,0.8364974,0.8055992,0.1846036
0,210,0.7427217,0.7156497,0.1855367
0,225,0.6629444,0.638998,0.18639
0,240,0.5945479,0.5732012,0.1871746
0,255,0.5355256,0.5163748,0.1878997
