"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0985778,0.8147287,0.003586537
0,6,1.268897,4.171958,0.01227247
0,9,4.019392,9.063515,0.02524733
0,12,8.161602,14.89705,0.04155583
0,15,13.28263,21.02641,0.05990448
0,18,18.86674,26.9009,0.07905158
0,21,24.42833,32.14633,0.0979808
0,24,29.58684,36.5508,0.1159494
0,27,34.08727,40.0301,0.1324787
0,30,37.79174,42.59382,0.1473158
0,33,40.65762,44.31253,0.1603811
0,36,42.71211,45.29111,0.1717174
0,39,44.02731,45.64808,0.1814449
0,42,44.69947,45.5014,0.1897244
0,45,44.83363,44.95994,0.1967329
0,48,44.53291,44.11924,0.202646
0,51,43.89203,43.05997,0.2076278
0,54,42.99411,41.84823,0.2118259
0,57,41.90937,40.53689,0.2153693
0,60,40.69551,39.16747,0.2183681
0,63,39.39893,37.77199,0.2209158
0,66,38.05623,36.37461,0.2230902
0,69,36.6956,34.99332,0.2249559
0,72,35.33842,33.64113,0.2265665
0,75,34.00057,32.32722,0.2279657
0,78,32.69347,31.05751,0.2291889
0,81,31.42499,29.83575,0.2302654
0,84,30.20042,28.6642,0.2312197
0,87,29.02308,27.54374,0.2320715
0,90,27.89474,26.47429,0.2328372
0,93,26.81595,25.45501,0.2335302
0,96,25.78643,24.48456,0.2341616
0,99,24.80527,23.5613,0.2347405
0,102,23.8711,22.68333,0.2352746
0,105,22.98224,21.84861,0.23577
0,108,22.13682,21.05504,0.2362321
0,111,21.33286,20.30053,0.2366651
0,114,20.56833,19.58296,0.2370728
0,117,19.84118,18.90032,0.2374581
0,120,19.1494,18.25063,0.2378238
0,135,16.15525,15.43346,0.2394231
0,150,13.78642,13.19571,0.2407527
0,165,11.88247,11.38968,0.241902
0,180,10.32851,9.910289,0.2429192
0,195,9.042935,8.682834,0.2438337
0,210,7.967214,7.65345,0.2446646
0,225,7.058547,6.782502,0.245426
0,240,6.284994,6.040197,0.2461283
0,255,5.622113,5.403594,0.2467798
0,270,5.050904,4.854754,0.2473871
0,285,4.55628,4.37937,0.2479557
0,300,4.126102,3.965885,0.2484904
0,315,3.750498,3.60487,0.2489952
0,330,3.421339,3.288545,0.2494735
0,345,3.131887,3.010448,0.2499285
0,360,2.876534,2.765195,0.2503629
0,375,2.65058,2.548265,0.250779
0,390,2.450058,2.35584,0.2511791
0,405,2.271614,2.184691,0.2515652
0,420,2.112399,2.032072,0.2519389
0,435,1.969987,1.895643,0.2523018
0,450,1.842175,1.773141,0.2526546
0,465,1.726577,1.662301,0.2529966
0,480,1.621793,1.561916,0.2533288
0,495,1.526688,1.470871,0.2536525
0,510,1.440241,1.388175,0.2539687
0,525,1.361548,1.312949,0.2542782
0,540,1.289807,1.244419,0.254582
0,555,1.224313,1.181901,0.2548808
0,570,1.164441,1.124791,0.2551754
0,585,1.109642,1.072557,0.2554662
0,600,1.059428,1.024729,0.2557539
0,615,1.013366,0.9808882,0.2560391
0,630,0.9710715,0.9406632,0.2563221
0,645,0.9322008,0.9037222,0.2566034
0,660,0.8964475,0.8697696,0.2568833
0,675,0.8635369,0.8385403,0.2571622
0,690,0.8332217,0.8097955,0.2574402
0,705,0.8052792,0.7833204,0.2577178
0,720,0.7795078,0.7589208,0.2579951
0,735,0.7557244,0.7364144,0.2582722
0,750,0.7335221,0.7152834,0.2585481
0,765,0.7126008,0.695393,0.2588227
0,780,0.6929637,0.6767436,0.2590961
0,795,0.6745767,0.6592967,0.2593686
