"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0165094,0.1363403,0.002462087
0,6,0.2114436,0.6938332,0.008528075
0,9,0.6685794,1.507959,0.0176826
0,12,1.359296,2.485375,0.02927833
0,15,2.217494,3.518798,0.04241135
0,18,3.158007,4.514556,0.0561992
0,21,4.099087,5.408038,0.06990992
0,24,4.975905,6.16226,0.08300132
0,27,5.744641,6.762313,0.095117
0,30,6.381326,7.209382,0.1060608
0,33,6.878345,7.515079,0.1157622
0,36,7.239864,7.696787,0.1242399
0,39,7.477636,7.774137,0.1315697
0,42,7.607549,7.766617,0.1378601
0,45,7.646928,7.692152,0.1432318
0,48,7.612733,7.566325,0.1478064
0,51,7.520504,7.40242,0.1516996
0,54,7.383913,7.211393,0.1550161
0,57,7.21457,7.002069,0.1578481
0,60,7.022077,6.781425,0.1602748
0,63,6.814195,6.554893,0.1623637
0,66,6.597091,6.326645,0.1641713
0,69,6.375582,6.099828,0.1657447
0,72,6.15337,5.876768,0.1671231
0,75,5.933243,5.659143,0.1683388
0,78,5.717247,5.448114,0.1694185
0,81,5.50685,5.244449,0.170384
0,84,5.303081,5.048624,0.1712536
0,87,5.106608,4.860877,0.1720422
0,90,4.917819,4.681269,0.172762
0,93,4.736891,4.509727,0.1734233
0,96,4.563844,4.346087,0.1740345
0,99,4.398585,4.190117,0.1746025
0,102,4.240945,4.041547,0.1751333
0,105,4.090694,3.900075,0.1756317
0,108,3.947554,3.765379,0.1761018
0,111,3.811223,3.637127,0.1765471
0,114,3.681387,3.514992,0.1769703
0,117,3.557724,3.398645,0.177374
0,120,3.439917,3.287772,0.1777602
0,135,2.928164,2.805328,0.1794828
0,150,2.520933,2.41993,0.1809513
0,165,2.191788,2.107112,0.1822412
0,180,1.921313,1.848994,0.1833905
0,195,1.695884,1.633237,0.184426
0,210,1.505865,1.450963,0.185367
0,225,1.344185,1.295613,0.186228
0,240,1.205545,1.162242,0.1870201
0,255,1.085895,1.047044,0.1877522
0,270,0.9820661,0.9470249,0.188432
0,285,0.8915355,0.8597896,0.1890656
0,300,0.8122753,0.7834044,0.1896585
0,315,0.7426241,0.7162805,0.1902154
0,330,0.6812063,0.657099,0.1907404
0,345,0.6268795,0.6047621,0.1912372
0,360,0.5786868,0.5583488,0.1917089
0,375,0.5358187,0.5170788,0.1921585
0,390,0.4975884,0.4802893,0.1925884
0,405,0.4634107,0.4474152,0.1930009
0,420,0.4327846,0.417972,0.193398
0,435,0.4052784,0.3915422,0.1937815
0,450,0.3805192,0.3677651,0.194153
0,465,0.3581844,0.3463282,0.1945137
0,480,0.3379942,0.3269604,0.194865
0,495,0.3197045,0.3094256,0.195208
0,510,0.303102,0.2935167,0.1955435
0,525,0.2879995,0.2790525,0.1958723
0,540,0.2742324,0.2658736,0.1961952
0,543,0.2716262,0.2633794,0.1962591
0,546,0.2690665,0.2609299,0.1963228
0,549,0.2665522,0.2585242,0.1963863
0,552,0.2640824,0.2561611,0.1964496
0,555,0.261656,0.2538398,0.1965127
0,558,0.2592721,0.2515593,0.1965756
0,561,0.2569298,0.2493187,0.1966383
0,564,0.254628,0.2471171,0.1967009
0,567,0.2523659,0.2449536,0.1967632
0,570,0.2501427,0.2428274,0.1968254
0,573,0.2479574,0.2407376,0.1968874
0,576,0.2458092,0.2386834,0.1969492
0,579,0.2436974,0.2366641,0.1970108
0,582,0.241621,0.2346789,0.1970723
0,585,0.2395794,0.2327269,0.1971336
0,588,0.2375717,0.2308076,0.1971948
0,591,0.2355973,0.22892,0.1972558
0,594,0.2336553,0.2270637,0.1973166
0,597,0.2317452,0.2252378,0.1973773
0,600,0.2298661,0.2234417,0.1974378
0,603,0.2280175,0.2216747,0.1974982
0,606,0.2261986,0.2199362,0.1975584
0,609,0.2244088,0.2182257,0.1976185
0,612,0.2226475,0.2165423,0.1976784
0,615,0.2209141,0.2148857,0.1977382
0,618,0.2192079,0.2132552,0.1977979
0,621,0.2175284,0.2116501,0.1978574
0,624,0.215875,0.2100701,0.1979168
0,627,0.2142472,0.2085145,0.197976
