"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.006066087,0.04975631,0.00358639
0,6,0.07607876,0.2474032,0.01227215
0,9,0.2368734,0.5293919,0.02524681
0,12,0.4759059,0.8627822,0.04155508
0,15,0.7691391,1.211203,0.0599036
0,18,1.087172,1.543691,0.07905043
0,21,1.402551,1.83938,0.09797943
0,24,1.693951,2.086731,0.115949
0,27,1.947314,2.281484,0.1324819
0,30,2.155244,2.424613,0.1473254
0,33,2.315725,2.520399,0.1604003
0,36,2.430578,2.574914,0.1717493
0,39,2.504052,2.594857,0.1814921
0,42,2.541645,2.586806,0.1897897
0,45,2.549259,2.556785,0.1968185
0,48,2.532642,2.510052,0.202754
0,51,2.497036,2.451054,0.2077604
0,54,2.447031,2.383426,0.2119848
0,57,2.386503,2.310091,0.2155557
0,60,2.318646,2.233366,0.2185833
0,63,2.246038,2.155038,0.2211606
0,66,2.170718,2.076474,0.2233652
0,69,2.094269,1.9987,0.2252616
0,72,2.017902,1.922463,0.2269029
0,75,1.942522,1.848298,0.2283328
0,78,1.868788,1.776569,0.2295872
0,81,1.797169,1.707509,0.2306954
0,84,1.727979,1.641251,0.2316817
0,87,1.661417,1.577855,0.2325659
0,90,1.597593,1.517322,0.233364
0,93,1.536548,1.459612,0.2340896
0,96,1.478272,1.404654,0.2347535
0,99,1.422717,1.352358,0.2353649
0,102,1.369811,1.302618,0.2359313
0,105,1.319462,1.255323,0.2364589
0,108,1.271566,1.210355,0.2369529
0,111,1.226014,1.167595,0.2374177
0,114,1.18269,1.126926,0.2378568
0,117,1.141481,1.088233,0.2382734
0,120,1.102273,1.051405,0.2386699
0,135,0.9325284,0.8916667,0.2404179
0,150,0.7981511,0.7646908,0.2418867
0,165,0.6900343,0.6620912,0.2431648
0,180,0.601658,0.5779086,0.2443005
0,195,0.5284021,0.5079159,0.2453231
0,210,0.4669601,0.4490732,0.2462524
0,225,0.4149218,0.3991501,0.2471026
0,240,0.3704925,0.3564739,0.247885
0,255,0.3323039,0.3197609,0.2486082
0,270,0.2992919,0.2880068,0.2492795
0,285,0.2706127,0.2604113,0.2499052
0,300,0.2455862,0.2363271,0.2504903
0,315,0.2236608,0.2152271,0.2510396
0,330,0.2043825,0.1966764,0.2515568
0,345,0.1873735,0.1803125,0.2520457
0,360,0.1723179,0.1658319,0.2525091
0,375,0.1589509,0.1529795,0.2529499
0,390,0.1470482,0.1415393,0.2533706
0,405,0.1364193,0.1313277,0.2537732
0,420,0.1269021,0.1221882,0.2541597
0,435,0.1183577,0.1139868,0.2545318
0,450,0.1106671,0.1066083,0.2548911
0,465,0.1037274,0.09995355,0.2552389
0,480,0.09745014,0.09393689,0.2555763
0,495,0.09175835,0.088484,0.2559044
0,510,0.08658528,0.08353034,0.2562242
0,525,0.08187274,0.07901964,0.2565365
0,540,0.07756991,0.07490277,0.2568418
0,555,0.07363228,0.07113674,0.2571409
0,570,0.07002079,0.06768376,0.2574343
0,585,0.06670107,0.06451064,0.2577224
0,600,0.06364282,0.06158815,0.2580056
0,615,0.06081931,0.05889045,0.2582842
0,630,0.05820685,0.05639469,0.2585585
0,645,0.05578446,0.05408065,0.2588288
0,660,0.05353351,0.05193036,0.2590952
0,675,0.05143745,0.0499279,0.2593578
0,690,0.04948153,0.04805906,0.2596169
0,705,0.0476526,0.04631121,0.2598725
0,720,0.04593892,0.04467306,0.2601246
0,735,0.04433001,0.04313456,0.2603734
0,750,0.04281649,0.04168672,0.260619
0,765,0.04138997,0.04032149,0.2608612
0,780,0.04004293,0.03903168,0.2611002
0,795,0.03876862,0.03781085,0.261336
0,810,0.03756098,0.03665322,0.2615685
0,825,0.03641458,0.03555358,0.2617979
0,840,0.03532452,0.03450729,0.2620241
0,855,0.03428639,0.03351016,0.2622471
0,870,0.03329625,0.03255843,0.2624668
0,885,0.0323505,0.0316487,0.2626835
0,900,0.03144593,0.03077792,0.2628968
0,915,0.03057963,0.02994334,0.263107
0,930,0.02974896,0.02914247,0.2633141
0,945,0.02895155,0.02837306,0.2635179
0,960,0.02818523,0.02763307,0.2637186
0,975,0.02744805,0.02692068,0.2639161
0,990,0.02673822,0.02623419,0.2641104
0,1005,0.02605413,0.0255721,0.2643017
0,1020,0.02539431,0.02493302,0.2644898
0,1035,0.02475742,0.02431569,0.2646748
0,1050,0.0241422,0.02371895,0.2648567
0,1065,0.02354755,0.02314174,0.2650355
0,1080,0.02297242,0.02258311,0.2652114
0,1095,0.02241586,0.02204216,0.2653842
0,1110,0.02187699,0.02151806,0.265554
0,1125,0.021355,0.02101006,0.2657209
0,1140,0.02084915,0.02051746,0.2658849
0,1155,0.02035871,0.02003959,0.266046
0,1170,0.01988306,0.01957587,0.2662043
0,1185,0.01942158,0.01912571,0.2663598
0,1200,0.0189737,0.01868858,0.2665125
0,1215,0.01853888,0.018264,0.2666624
0,1230,0.01811664,0.01785148,0.2668097
0,1245,0.0177065,0.01745059,0.2669544
0,1260,0.01730801,0.0170609,0.2670964
0,1275,0.01692074,0.01668203,0.2672358
0,1290,0.01654431,0.0163136,0.2673728
0,1305,0.01617832,0.01595524,0.2675072
0,1320,0.01582243,0.01560662,0.2676392
0,1335,0.01547628,0.01526741,0.2677688
0,1350,0.01513954,0.01493731,0.267896
0,1365,0.0148119,0.01461601,0.2680209
0,1380,0.01449306,0.01430322,0.2681436
0,1395,0.01418272,0.01399868,0.268264
0,1410,0.01388061,0.01370211,0.2683822
0,1425,0.01358647,0.01341327,0.2684982
0,1440,0.01330003,0.01313191,0.2686121
0,1455,0.01302105,0.01285779,0.268724
0,1470,0.01274929,0.01259069,0.2688338
0,1485,0.01248452,0.01233039,0.2689416
0,1500,0.01222651,0.01207667,0.2690474
0,1515,0.01197506,0.01182933,0.2691514
0,1530,0.01172996,0.01158818,0.2692534
0,1545,0.01149102,0.01135301,0.2693536
0,1560,0.01125803,0.01112366,0.2694519
0,1575,0.01103081,0.01089993,0.2695485
0,1590,0.01080918,0.01068167,0.2696434
0,1605,0.01059298,0.01046869,0.2697365
0,1620,0.01038202,0.01026084,0.2698279
0,1635,0.01017616,0.01005797,0.2699177
0,1650,0.009975236,0.009859915,0.2700059
0,1665,0.009779094,0.00966654,0.2700925
0,1680,0.009587592,0.009477701,0.2701775
0,1695,0.009400587,0.009293264,0.270261
0,1710,0.009217945,0.009113095,0.270343
0,1725,0.009039533,0.008937067,0.2704235
0,1740,0.008865227,0.00876506,0.2705026
0,1755,0.008694903,0.008596952,0.2705803
0,1770,0.008528442,0.008432631,0.2706566
0,1785,0.008365732,0.008271987,0.2707314
0,1800,0.008206662,0.00811491,0.2708051
0,1815,0.008051125,0.007961298,0.2708773
