"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.07376708,0.6088866,0.003589584
0,6,0.9461153,3.107233,0.01228252
0,9,2.992675,6.744914,0.0252675
0,12,6.073902,11.08413,0.04158841
0,15,9.883094,15.6427,0.05995071
0,18,14.03577,20.009,0.07911178
0,21,18.16952,23.90373,0.09805458
0,24,22.00048,27.16952,0.1160369
0,27,25.33904,29.74453,0.1325791
0,30,28.08295,31.63672,0.1474277
0,33,30.20137,32.89992,0.1605033
0,36,31.71542,33.61326,0.1718487
0,39,32.67976,33.86578,0.1815838
0,42,33.1668,33.74575,0.1898697
0,45,33.25525,33.33446,0.1968833
0,48,33.0225,32.70308,0.2028012
0,51,32.5391,31.91134,0.2077876
0,54,31.86645,31.00799,0.2119895
0,57,31.05663,30.03205,0.215536
0,60,30.15239,29.0141,0.2185377
0,63,29.18792,27.97763,0.221088
0,66,28.19011,26.9404,0.2232647
0,69,27.17973,25.91557,0.2251326
0,72,26.17248,24.91271,0.2267452
0,75,25.17999,23.93852,0.2281464
0,78,24.21069,22.99751,0.2293721
0,81,23.27045,22.09252,0.2304521
0,84,22.36317,21.22511,0.2314104
0,87,21.49126,20.39584,0.2322671
0,90,20.65597,19.60461,0.2330383
0,93,19.85767,18.8507,0.2337372
0,96,19.09602,18.13291,0.2343744
0,99,18.37023,17.45005,0.2349592
0,102,17.67926,16.80074,0.235499
0,105,17.02186,16.18346,0.2360003
0,108,16.39665,15.59666,0.2364681
0,111,15.80214,15.03878,0.2369068
0,114,15.23683,14.50826,0.2373202
0,117,14.6992,14.00359,0.2377114
0,120,14.18776,13.52331,0.2380827
0,135,11.97452,11.44108,0.2397102
0,150,10.22393,9.78745,0.2410677
0,165,8.817101,8.453007,0.2422444
0,180,7.668935,7.359945,0.2432886
0,195,6.719052,6.452983,0.2442296
0,210,5.924129,5.69227,0.2450865
0,225,5.252549,5.04853,0.2458733
0,240,4.680696,4.499737,0.2466004
0,255,4.19054,4.028969,0.247276
0,270,3.768036,3.622968,0.2479068
0,285,3.402047,3.271172,0.2484983
0,300,3.083617,2.965057,0.2490552
0,315,2.805459,2.697661,0.2495815
0,330,2.561579,2.463248,0.2500806
0,345,2.347006,2.257053,0.2505558
0,360,2.157603,2.075102,0.2510096
0,375,1.989903,1.914061,0.2514445
0,390,1.840982,1.771117,0.2518627
0,405,1.708367,1.643887,0.2522662
0,420,1.589958,1.530347,0.2526567
0,435,1.483965,1.428772,0.2530358
0,450,1.388857,1.337686,0.2534049
0,465,1.30332,1.255819,0.2537653
0,480,1.226222,1.182079,0.2541182
0,495,1.156587,1.115523,0.2544646
0,510,1.093565,1.055331,0.2548053
0,525,1.036421,1.00079,0.2551413
0,540,0.9845088,0.9512791,0.2554733
0,555,0.9372658,0.9062529,0.2558018
0,570,0.8941964,0.8652323,0.2561274
0,585,0.8548636,0.8277952,0.2564505
0,600,0.8188811,0.7935682,0.2567716
0,615,0.7859063,0.76222,0.257091
0,630,0.755634,0.733456,0.2574089
0,645,0.7277926,0.7070135,0.2577254
0,660,0.7021145,0.6825927,0.2580407
0,675,0.678089,0.659665,0.2583531
0,690,0.655533,0.6381552,0.2586628
0,705,0.6343771,0.6179877,0.2589699
0,720,0.6145322,0.5990722,0.2592745
0,735,0.5959031,0.5813146,0.2595767
0,750,0.5783948,0.5646217,0.2598764
0,765,0.5619156,0.5489048,0.2601738
0,780,0.5463793,0.5340803,0.2604689
0,795,0.531451,0.519609,0.2607598
0,810,0.5164298,0.5049844,0.261044
0,825,0.5014946,0.4904742,0.2613217
0,840,0.4867999,0.4762117,0.261593
0,855,0.4724354,0.4622759,0.2618582
0,870,0.4584511,0.4487109,0.2621173
0,885,0.4448746,0.4355408,0.2623705
0,900,0.4317192,0.422777,0.2626181
0,915,0.4189891,0.4104229,0.2628602
0,930,0.4066824,0.3984764,0.2630968
0,945,0.3947932,0.3869316,0.2633282
0,960,0.3833132,0.3757805,0.2635545
0,975,0.3722321,0.3650132,0.2637759
0,990,0.3615385,0.354619,0.2639923
0,1005,0.3512205,0.3445864,0.2642041
0,1020,0.3412658,0.3349035,0.2644112
0,1035,0.3316617,0.3255586,0.2646139
0,1050,0.3223959,0.3165396,0.2648122
0,1065,0.3134559,0.3078349,0.2650062
0,1080,0.3048296,0.2994327,0.2651961
0,1095,0.2965052,0.2913218,0.2653819
0,1110,0.288471,0.283491,0.2655638
0,1125,0.2807159,0.2759297,0.2657418
0,1140,0.2732289,0.2686274,0.265916
0,1155,0.2659995,0.2615741,0.2660867
0,1170,0.2590177,0.2547601,0.2662537
0,1185,0.2522736,0.2481761,0.2664173
0,1200,0.2457579,0.241813,0.2665775
0,1215,0.2394616,0.2356623,0.2667343
0,1230,0.2333761,0.2297156,0.266888
0,1245,0.2274929,0.2239649,0.2670385
0,1260,0.2218041,0.2184026,0.2671859
0,1275,0.2163021,0.2130213,0.2673303
0,1290,0.2109794,0.2078139,0.2674719
0,1305,0.2058292,0.2027737,0.2676105
0,1320,0.2008446,0.1978943,0.2677464
0,1335,0.1960191,0.1931692,0.2678796
0,1350,0.1913466,0.1885927,0.2680101
0,1365,0.1868211,0.1841589,0.2681381
0,1380,0.1824369,0.1798624,0.2682635
0,1395,0.1781885,0.1756979,0.2683865
0,1410,0.1740707,0.1716603,0.268507
0,1425,0.1700785,0.1677448,0.2686252
0,1440,0.166207,0.1639469,0.2687411
0,1455,0.1624518,0.1602619,0.2688548
0,1470,0.1588082,0.1566856,0.2689663
0,1485,0.1552722,0.153214,0.2690756
0,1500,0.1518396,0.1498431,0.2691829
0,1515,0.1485066,0.1465692,0.2692881
0,1530,0.1452694,0.1433886,0.2693913
0,1545,0.1421244,0.1402979,0.2694926
0,1560,0.1390682,0.1372938,0.269592
0,1575,0.1360976,0.1343731,0.2696895
0,1590,0.1332094,0.1315328,0.2697851
0,1605,0.1304005,0.1287698,0.269879
0,1620,0.1276681,0.1260815,0.2699712
0,1635,0.1250095,0.1234651,0.2700616
0,1650,0.1224218,0.1209181,0.2701503
0,1665,0.1199027,0.118438,0.2702375
0,1680,0.1174496,0.1160224,0.270323
0,1695,0.1150602,0.113669,0.2704069
0,1710,0.1127323,0.1113758,0.2704894
0,1725,0.1104638,0.1091405,0.2705702
0,1740,0.1082525,0.1069612,0.2706497
0,1755,0.1060965,0.104836,0.2707277
0,1770,0.1039939,0.102763,0.2708043
0,1785,0.1019429,0.1007406,0.2708794
0,1800,0.09994172,0.09876689,0.2709533
0,1815,0.09798874,0.09684037,0.2710258
0,1830,0.09608235,0.09495949,0.2710969
0,1845,0.09422102,0.09312274,0.2711669
0,1860,0.09240328,0.09132869,0.2712355
0,1875,0.09062771,0.08957598,0.2713029
0,1890,0.08889297,0.0878633,0.2713691
0,1905,0.08719777,0.08618937,0.2714342
0,1920,0.08554086,0.08455302,0.271498
0,1935,0.08392106,0.08295306,0.2715608
0,1950,0.08233722,0.08138839,0.2716224
