"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,774,0.3139874,0.3033877,0.6112332
0,780,0.3084565,0.2980901,0.6113666
0,786,0.3030523,0.2929134,0.6114988
0,792,0.2977711,0.2878541,0.6116297
0,798,0.2926093,0.2829086,0.6117592
0,804,0.2875634,0.2780737,0.6118875
0,810,0.28263,0.2733462,0.6120144
0,816,0.2778059,0.2687229,0.6121401
0,822,0.273088,0.264201,0.6122646
0,828,0.2684734,0.2597775,0.6123878
0,834,0.2639591,0.2554497,0.6125098
0,840,0.2595423,0.2512149,0.6126307
0,846,0.2552204,0.2470706,0.6127503
0,852,0.2509907,0.2430142,0.6128687
0,858,0.2468508,0.2390435,0.612986
0,864,0.2427983,0.2351561,0.6131022
0,870,0.2388308,0.2313497,0.6132172
0,876,0.234946,0.2276223,0.6133311
0,882,0.2311419,0.2239717,0.613444
0,888,0.2274162,0.220396,0.6135557
0,894,0.223767,0.2168931,0.6136663
0,900,0.2201922,0.2134613,0.6137758
0,906,0.21669,0.2100987,0.6138844
0,912,0.2132586,0.2068035,0.6139919
0,918,0.2098961,0.2035741,0.6140983
0,924,0.2066008,0.2004088,0.6142036
0,930,0.2033711,0.1973061,0.6143081
0,936,0.2002053,0.1942643,0.6144114
0,942,0.1971019,0.191282,0.6145138
0,948,0.1940593,0.1883577,0.6146152
0,954,0.1910762,0.1854901,0.6147156
0,960,0.1881509,0.1826778,0.6148151
0,966,0.1852822,0.1799194,0.6149136
0,972,0.1824688,0.1772137,0.6150112
0,978,0.1797092,0.1745595,0.6151078
0,984,0.1770023,0.1719555,0.6152036
0,990,0.1743468,0.1694005,0.6152984
0,996,0.1717415,0.1668936,0.6153923
0,1002,0.1691854,0.1644334,0.6154853
0,1008,0.1666771,0.162019,0.6155774
0,1014,0.1642158,0.1596494,0.6156687
0,1020,0.1618002,0.1573234,0.6157591
0,1026,0.1594294,0.1550403,0.6158486
0,1032,0.1571023,0.1527989,0.6159372
0,1038,0.154818,0.1505984,0.6160251
0,1044,0.1525756,0.1484378,0.6161121
0,1050,0.1503741,0.1463163,0.6161982
0,1056,0.1482126,0.1442331,0.6162837
0,1062,0.1460902,0.1421872,0.6163682
0,1068,0.1440061,0.140178,0.6164519
0,1074,0.1419595,0.1382045,0.6165349
0,1080,0.1399496,0.1362661,0.6166171
0,1086,0.1379756,0.134362,0.6166985
0,1092,0.1360366,0.1324915,0.6167791
0,1098,0.134132,0.1306538,0.616859
0,1104,0.1322611,0.1288483,0.6169381
0,1110,0.1304231,0.1270743,0.6170165
0,1116,0.1286173,0.1253311,0.6170942
0,1122,0.1268432,0.1236182,0.6171711
0,1128,0.1250999,0.1219348,0.6172473
0,1134,0.1233869,0.1202805,0.6173227
0,1140,0.1217036,0.1186545,0.6173975
0,1146,0.1200494,0.1170563,0.6174716
0,1152,0.1184236,0.1154853,0.617545
0,1158,0.1168257,0.1139411,0.6176177
0,1164,0.1152551,0.112423,0.6176897
0,1170,0.1137112,0.1109306,0.6177611
0,1176,0.1121936,0.1094632,0.6178318
0,1182,0.1107017,0.1080205,0.6179018
0,1188,0.109235,0.106602,0.6179712
0,1194,0.107793,0.1052071,0.6180399
0,1200,0.1063751,0.1038354,0.618108
0,1206,0.104981,0.1024864,0.6181755
0,1212,0.1036102,0.1011597,0.6182423
0,1218,0.1022621,0.09985486,0.6183085
0,1224,0.1009364,0.09857148,0.6183742
0,1230,0.0996326,0.09730911,0.6184392
0,1236,0.09835029,0.09606735,0.6185036
0,1242,0.09708906,0.09484582,0.6185674
0,1248,0.09584849,0.09364411,0.6186306
0,1254,0.09462819,0.09246186,0.6186933
0,1260,0.09342777,0.09129868,0.6187554
0,1266,0.09224685,0.09015422,0.6188169
0,1272,0.09108505,0.08902813,0.6188778
0,1278,0.089942,0.08792005,0.6189383
0,1284,0.08881736,0.08682964,0.6189981
0,1290,0.08771078,0.08575658,0.6190574
0,1296,0.0866219,0.08470052,0.6191161
0,1302,0.08555041,0.08366117,0.6191744
0,1308,0.08449595,0.0826382,0.6192321
0,1314,0.08345824,0.08163132,0.6192892
0,1320,0.08243694,0.08064022,0.6193459
0,1326,0.08143175,0.0796646,0.619402
0,1332,0.08044238,0.07870419,0.6194577
0,1338,0.07946851,0.0777587,0.6195128
0,1344,0.07850988,0.07682786,0.6195675
0,1350,0.07756619,0.0759114,0.6196216
0,1356,0.07663717,0.07500904,0.6196752
0,1362,0.07572255,0.07412055,0.6197284
0,1368,0.07482207,0.07324566,0.6197811
0,1374,0.07393546,0.07238412,0.6198334
0,1380,0.07306247,0.0715357,0.6198851
0,1386,0.07220285,0.07070015,0.6199364
0,1392,0.07135636,0.06987724,0.6199872
0,1398,0.07052276,0.06906675,0.6200377
0,1404,0.06970181,0.06826844,0.6200876
0,1410,0.06889329,0.06748211,0.6201371
0,1416,0.06809697,0.06670752,0.6201862
0,1422,0.06731262,0.06594449,0.6202348
0,1428,0.06654004,0.06519278,0.620283
0,1434,0.06577901,0.06445222,0.6203308
0,1440,0.06502932,0.06372259,0.6203781
