"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,1410,0.1125494,0.1110512,0.2683643
0,1425,0.1101078,0.1086554,0.2684807
0,1440,0.1077331,0.1063247,0.268595
0,1455,0.1054232,0.1040567,0.2687071
0,1470,0.1031757,0.1018495,0.2688172
0,1485,0.1009885,0.09970088,0.2689252
0,1500,0.09885968,0.09760897,0.2690313
0,1515,0.09678721,0.09557188,0.2691354
0,1530,0.09476922,0.09358781,0.2692376
0,1545,0.09280388,0.09165499,0.269338
0,1560,0.09088945,0.08977177,0.2694365
0,1575,0.08902425,0.08793652,0.2695332
0,1590,0.08720666,0.08614768,0.2696282
0,1605,0.08543512,0.08440375,0.2697214
0,1620,0.08370814,0.08270328,0.269813
0,1635,0.08202425,0.08104488,0.2699029
0,1650,0.08038207,0.07942719,0.2699911
0,1665,0.07878026,0.07784894,0.2700778
0,1680,0.07721753,0.07630886,0.2701629
0,1695,0.07569263,0.07480576,0.2702465
0,1710,0.07420436,0.07333847,0.2703285
0,1725,0.07275157,0.07190587,0.2704091
0,1740,0.07133313,0.0705069,0.2704883
0,1755,0.06994799,0.06914051,0.270566
0,1770,0.0685951,0.06780569,0.2706423
0,1785,0.06727349,0.06650149,0.2707173
0,1800,0.06598218,0.06522697,0.2707909
0,1815,0.06472024,0.06398125,0.2708632
0,1830,0.06348681,0.06276346,0.2709342
0,1845,0.06228102,0.06157276,0.271004
0,1860,0.06110204,0.06040836,0.2710725
0,1875,0.05994908,0.0592695,0.2711398
0,1890,0.05882138,0.05815541,0.2712059
0,1905,0.0577182,0.05706539,0.2712708
0,1920,0.05663884,0.05599875,0.2713345
0,1935,0.0555826,0.05495483,0.2713972
0,1950,0.05454884,0.05393298,0.2714587
0,1965,0.05353691,0.05293258,0.2715191
0,1980,0.05254622,0.05195305,0.2715785
0,1995,0.05157616,0.05099382,0.2716368
0,2010,0.05062618,0.05005432,0.2716941
0,2025,0.04969573,0.04913403,0.2717503
0,2040,0.04878427,0.04823243,0.2718056
0,2055,0.04789132,0.04734904,0.2718599
0,2070,0.04701636,0.04648336,0.2719132
0,2085,0.04615895,0.04563495,0.2719656
0,2100,0.04531861,0.04480336,0.272017
0,2115,0.04449492,0.04398816,0.2720675
0,2130,0.04368745,0.04318895,0.2721172
0,2145,0.04289579,0.04240531,0.272166
0,2160,0.04211954,0.04163687,0.2722138
0,2175,0.04135834,0.04088326,0.2722609
0,2190,0.04061181,0.04014412,0.2723071
0,2205,0.0398796,0.03941909,0.2723525
0,2220,0.03916136,0.03870785,0.2723971
0,2235,0.03845677,0.03801008,0.2724409
0,2250,0.0377655,0.03732546,0.2724839
0,2265,0.03708725,0.03665368,0.2725262
0,2280,0.03642173,0.03599447,0.2725677
0,2295,0.03576863,0.03534752,0.2726085
0,2310,0.03512768,0.03471258,0.2726485
0,2325,0.03449861,0.03408937,0.2726879
0,2340,0.03388116,0.03347763,0.2727265
0,2355,0.03327507,0.03287713,0.2727644
0,2370,0.0326801,0.03228762,0.2728017
0,2385,0.03209601,0.03170885,0.2728383
0,2400,0.03152258,0.03114062,0.2728742
0,2415,0.03095956,0.03058269,0.2729096
0,2430,0.03040675,0.03003486,0.2729442
0,2445,0.02986394,0.02949691,0.2729783
0,2460,0.02933092,0.02896865,0.2730117
0,2475,0.0288075,0.02844988,0.2730446
0,2490,0.02829347,0.02794041,0.2730769
0,2505,0.02778865,0.02744005,0.2731085
0,2520,0.02729287,0.02694863,0.2731397
0,2535,0.02680593,0.02646597,0.2731702
0,2550,0.02632767,0.0259919,0.2732002
0,2565,0.02585792,0.02552626,0.2732297
0,2580,0.02539652,0.02506888,0.2732586
0,2595,0.0249433,0.0246196,0.273287
0,2610,0.02449811,0.02417827,0.2733149
0,2625,0.0240608,0.02374475,0.2733423
0,2640,0.02363122,0.02331889,0.2733692
0,2655,0.02320923,0.02290054,0.2733956
0,2670,0.02279468,0.02248957,0.2734216
0,2685,0.02238744,0.02208583,0.273447
0,2700,0.02198737,0.02168921,0.273472
0,2715,0.02159434,0.02129956,0.2734966
0,2730,0.02120824,0.02091677,0.2735207
0,2745,0.02082892,0.02054071,0.2735444
0,2760,0.02045626,0.02017125,0.2735676
0,2775,0.02009016,0.01980829,0.2735904
0,2790,0.01973048,0.0194517,0.2736128
0,2805,0.01937713,0.01910137,0.2736348
0,2820,0.01902997,0.01875719,0.2736564
0,2835,0.01868891,0.01841906,0.2736776
0,2850,0.01835384,0.01808686,0.2736984
0,2865,0.01802465,0.01776049,0.2737188
0,2880,0.01770124,0.01743986,0.2737389
0,2895,0.01738351,0.01712486,0.2737586
0,2910,0.01707136,0.01681539,0.2737779
0,2925,0.01676469,0.01651135,0.2737969
0,2940,0.01646341,0.01621267,0.2738155
0,2955,0.01616742,0.01591923,0.2738338
0,2970,0.01587664,0.01563095,0.2738517
0,2985,0.01559097,0.01534775,0.2738693
0,3000,0.01531032,0.01506953,0.2738866
