"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,1410,0.05580676,0.05507755,0.268371
0,1425,0.05461389,0.05390664,0.2684871
0,1440,0.05345281,0.05276658,0.2686011
0,1455,0.05232248,0.05165637,0.268713
0,1470,0.05122188,0.05057505,0.2688229
0,1485,0.05015005,0.04952168,0.2689307
0,1500,0.04910605,0.04849538,0.2690366
0,1515,0.04808899,0.04749529,0.2691406
0,1530,0.04709799,0.04652056,0.2692426
0,1545,0.04613222,0.04557041,0.2693429
0,1560,0.04519087,0.04464406,0.2694413
0,1575,0.04427317,0.04374075,0.2695379
0,1590,0.04337836,0.04285977,0.2696327
0,1605,0.04250573,0.04200042,0.2697259
0,1620,0.04165457,0.04116203,0.2698173
0,1635,0.0408242,0.04034394,0.2699071
0,1650,0.04001399,0.03954554,0.2699953
0,1665,0.03922329,0.03876621,0.2700819
0,1680,0.03845152,0.03800537,0.270167
0,1695,0.03769807,0.03726245,0.2702505
0,1710,0.03696239,0.03653692,0.2703325
0,1725,0.03624394,0.03582823,0.270413
0,1740,0.03554219,0.03513589,0.2704921
0,1755,0.03485662,0.03445941,0.2705698
0,1770,0.03418677,0.03379831,0.2706461
0,1785,0.03353214,0.03315213,0.270721
0,1800,0.0328923,0.03252044,0.2707946
0,1815,0.0322668,0.0319028,0.2708669
0,1830,0.03165521,0.03129882,0.2709379
0,1845,0.03105714,0.03070809,0.2710076
0,1860,0.03047219,0.03013022,0.2710761
0,1875,0.02989998,0.02956486,0.2711434
0,1890,0.02934013,0.02901165,0.2712094
0,1905,0.02879232,0.02847025,0.2712743
0,1920,0.02825618,0.02794032,0.2713381
0,1935,0.0277314,0.02742154,0.2714007
0,1950,0.02721765,0.02691361,0.2714622
0,1965,0.02671464,0.02641623,0.2715226
0,1980,0.02622207,0.02592912,0.271582
0,1995,0.02573966,0.025452,0.2716403
0,2010,0.02526712,0.0249846,0.2716976
0,2025,0.02480421,0.02452666,0.2717538
0,2040,0.02435067,0.02407794,0.271809
0,2055,0.02390624,0.0236382,0.2718633
0,2070,0.0234707,0.02320721,0.2719166
0,2085,0.02304382,0.02278474,0.271969
0,2100,0.02262536,0.02237058,0.2720205
0,2115,0.02221513,0.02196453,0.272071
0,2130,0.02181292,0.02156637,0.2721206
0,2145,0.02141853,0.02117592,0.2721694
0,2160,0.02103176,0.02079299,0.2722173
0,2175,0.02065244,0.02041741,0.2722643
0,2190,0.02028038,0.02004898,0.2723105
0,2205,0.01991541,0.01968755,0.2723559
0,2220,0.01955736,0.01933295,0.2724005
0,2235,0.01920608,0.01898503,0.2724443
0,2250,0.0188614,0.01864363,0.2724873
0,2265,0.01852318,0.0183086,0.2725296
0,2280,0.01819127,0.0179798,0.2725711
0,2295,0.01786552,0.0176571,0.2726119
0,2310,0.01754581,0.01734035,0.2726519
0,2325,0.01723199,0.01702943,0.2726912
0,2340,0.01692395,0.01672421,0.2727299
0,2355,0.01662154,0.01642456,0.2727678
0,2370,0.01632467,0.01613038,0.2728051
0,2385,0.0160332,0.01584155,0.2728417
0,2400,0.01574702,0.01555795,0.2728777
0,2415,0.01546603,0.01527947,0.2729129
0,2430,0.01519011,0.01500602,0.2729476
0,2445,0.01491917,0.01473748,0.2729817
0,2460,0.01465309,0.01447377,0.2730151
0,2475,0.01439179,0.01421477,0.273048
0,2490,0.01413517,0.01396041,0.2730803
0,2505,0.01388313,0.01371058,0.2731119
0,2520,0.01363559,0.01346521,0.2731431
0,2535,0.01339245,0.01322419,0.2731736
0,2550,0.01315364,0.01298746,0.2732036
0,2565,0.01291907,0.01275492,0.2732331
0,2580,0.01268865,0.0125265,0.273262
0,2595,0.01246231,0.01230212,0.2732904
0,2610,0.01223997,0.0120817,0.2733183
0,2625,0.01202156,0.01186517,0.2733457
0,2640,0.011807,0.01165246,0.2733726
0,2655,0.01159623,0.01144349,0.273399
0,2670,0.01138916,0.0112382,0.273425
0,2685,0.01118574,0.01103652,0.2734504
0,2700,0.0109859,0.01083839,0.2734754
0,2715,0.01078956,0.01064374,0.2735
0,2730,0.01059668,0.0104525,0.2735241
0,2745,0.01040719,0.01026463,0.2735478
0,2760,0.01022101,0.01008005,0.273571
0,2775,0.01003811,0.009898702,0.2735938
0,2790,0.009858414,0.00972054,0.2736162
0,2805,0.009681869,0.009545502,0.2736382
0,2820,0.009508421,0.009373534,0.2736598
0,2835,0.009338014,0.009204582,0.273681
0,2850,0.009170595,0.009038594,0.2737018
0,2865,0.009006112,0.008875515,0.2737222
0,2880,0.008844513,0.008715298,0.2737423
