"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,1380,0.06516682,0.06377201,0.2038981
0,1395,0.06324299,0.06192388,0.2041127
0,1410,0.06143435,0.06018563,0.2043245
0,1425,0.05972989,0.05854665,0.2045338
0,1440,0.05811979,0.05699751,0.2047404
0,1455,0.5965471,0.9095466,0.1507698
0,1470,1.597456,1.796406,0.1721241
0,1485,1.905555,1.9171,0.1846487
0,1500,1.757791,1.699627,0.1904696
0,1515,1.495165,1.428306,0.193301
0,1530,1.248662,1.190619,0.1949169
0,1545,1.047038,1.00001,0.1960103
0,1560,0.8878187,0.8500798,0.196851
0,1575,0.7621748,0.7315378,0.1975511
0,1590,0.6618361,0.636505,0.1981615
0,1605,0.5804457,0.5591023,0.1987083
0,1620,0.5134,0.495109,0.1992062
0,1635,0.4574089,0.4415081,0.1996646
0,1650,0.410103,0.3961174,0.2000899
0,1665,0.3697474,0.3573294,0.2004869
0,1680,0.335044,0.3239325,0.2008593
0,1695,0.3050006,0.2949948,0.2012102
0,1710,0.2788405,0.2697825,0.2015421
0,1725,0.2559471,0.2477106,0.2018571
0,1740,0.2358248,0.2283064,0.2021569
0,1755,0.2180673,0.2111814,0.2024432
0,1770,0.2023391,0.1960138,0.2027174
0,1785,0.1883607,0.1825353,0.2029806
0,1800,0.1758977,0.1705202,0.203234
0,1815,0.1647522,0.1597776,0.2034785
0,1830,0.1547558,0.1501453,0.2037149
0,1845,0.1457653,0.1414847,0.2039441
0,1860,0.1376576,0.1336769,0.2041667
0,1875,0.1303269,0.1266197,0.2043833
0,1890,0.1236818,0.1202246,0.2045945
0,1905,0.1176432,0.1144151,0.2048007
0,1920,0.1121423,0.1091242,0.2050023
0,1935,0.1071186,0.1042937,0.2051998
0,1950,0.1025197,0.09987272,0.2053934
0,1965,0.09829944,0.09581652,0.2055835
0,1980,0.09441739,0.09208591,0.2057702
0,1995,0.09083778,0.08864626,0.2059539
0,2010,0.087529,0.08546697,0.2061346
0,2025,0.0844631,0.08252097,0.2063126
0,2040,0.08161527,0.07978425,0.2064879
0,2055,0.07896353,0.07723556,0.2066608
0,2070,0.0764883,0.07485598,0.2068312
0,2085,0.07417217,0.07262866,0.2069994
0,2100,0.07199959,0.07053863,0.2071653
0,2115,0.0699567,0.0685725,0.2073289
0,2130,0.06803115,0.06671836,0.2074905
0,2145,0.06621189,0.06496558,0.2076499
0,2160,0.06448904,0.06330466,0.2078072
0,2175,0.6028198,0.915764,0.1665773
0,2190,1.603641,1.802535,0.1826075
